0004011711,העצמת תשתיות מורשת,2011,-1,0,-1
0004011712,השתתפות המשרד להגנת,2011,-1,0,-1
0004011713,השתתפות במשרד התרבות,2011,,0,5000
0004011714,השתתפות במשרד החינוך,2011,,,1500
0004011801,שכר חברי ועדה,2011,1796,0,2205
0004011802,עבודה בלתי צמיתה,2011,1220,0,1000
0004011803,שעות נוספות,2011,57,0,0
0004011804,החזר הוצאות רכב,2011,72,0,0
0004011805,שעות סטודנט,2011,38,0,16
0004011806,שעות אבטחה,2011,-1,0,-1
0004011807,פעילות והוצאות הוועדה,2011,1873,0,3401
0004011904,כוננויות,2011,1530,2333,1519
0004011906,"קניית שרותי כ""א",2011,3,0,17
0004011909,"נסיעות לחו""ל",2011,428,133,593
0004011910,תפעול ואחזקה,2011,14515,10455,23537
0004011912,הכנסות ממכירת מכרזים,2011,-1,0,-1
0004011916,מתמחים,2011,163,185,179
0004011930,אחזקה,2011,,0,146
0004011932,דמי שמוש בנכסי מדינה,2011,4626,6507,6127
0004011933,מיסי ארנונה,2011,2088,1989,2157
0004011934,שכר דירה,2011,1130,1476,1476
0004011935,שיא כח אדם,2011,-1,0,-1
0004011936,עבודה ארעית,2011,-1,0,-1
0004011937,החזר הוצאות רכב,2011,-1,0,-1
0004011938,שעות נוספות,2011,-1,0,-1
0004011941,רכישת רכבים,2011,-1,0,-1
0004011942,שכר דירה,2011,-1,0,-1
0004011943,"תפעול, אחזקה, דואר",2011,-1,0,-1
0004011944,דלק לרכב ממשלתי,2011,-1,0,-1
0004011945,אחזקת רכב ממשלתי,2011,-1,0,-1
0004011946,הדרכת עובדים,2011,-1,0,-1
0004011947,שירותי ייעוץ,2011,-1,0,-1
0004011948,מיכון,2011,-1,0,-1
0004011949,פעולות אבטחה ושמירה,2011,-1,0,-1
0004011950,הדרכה והשתלמות,2011,1375,2100,3512
0004011951,דואר טלפונים ומשלוחים,2011,-1,0,-1
0004011952,פעולות רווחה,2011,1505,1721,2792
0004011953,הוצאות שמירה וביטחון,2011,-1,0,-1
0004011954,השתתפות נציבות שירות,2011,-50,-250,-250
0004011957,הכנסות ממכונים,2011,-1,0,-1
0004011958,הכנסות ממכונים,2011,-1,0,-1
0004011959,פסקי דין,2011,-1,0,-1
0004011961,החזר הוצאות רכב,2011,10739,14071,11233
0004011962,העסקת סטודנטים - קשבים,2011,1862,540,1863
0004011963,דלק לרכב ממשלתי,2011,1556,1245,2064
0004011964,אחזקת רכב ממשלתי,2011,7092,5025,8235
0004011968,השתתפות רשות החברות,2011,-1,0,-1
0004011969,שעות נוספות-קשבים,2011,661,307,673
0004011970,השתתפות במשרד ראש,2011,-1,0,-1
0004011972,אבטחת הרבנות הראשית,2011,397,334,726
0004011977,פרוייקט חירום השתתפות,2011,,0,113
0004011978,"שכר דירה - מל""ל",2011,-1,0,-1
0004011995,הכנסות ממכונים,2011,-1,0,-1
0004012001,"שכר דייני גיור, בלניות",2011,-1,0,-1
0004012002,שיא כח אדם,2011,546,1091,541
0004012003,תפעול,2011,1232,534,2944
0004012004,עבודה בלתי צמיתה,2011,1760,1768,2793
0004012005,שעות נוספות,2011,198,189,286
0004012006,החזר הוצאות רכב,2011,388,1382,393
0004012007,אחזקה,2011,95,0,172
0004012008,שכר דירה,2011,677,340,677
0004012009,שעות העסקה - דייני,2011,5028,4952,3883
0004012010,דלק לרכב ממשלתי,2011,77,59,92
0004012011,אחזקת רכב ממשלתי,2011,54,105,325
0004012012,מיכון,2011,137,204,238
0004012013,השתתפות בהוצאות בתי,2011,223,0,223
0004012014,פעולות מערך הגיור,2011,18712,30262,60405
0004012016,רווחה,2011,-1,0,-1
0004012018,עלויות פרישה,2011,63,53,61
0004012020,רזרבה - מערך הגיור,2011,-1,0,-1
0004012021,השתתפות בנתיב,2011,-1,0,-1
0004012022,העסקת סטודנטים,2011,-1,0,-1
0004012023,השתתפות בלשכת הפרסום,2011,837,0,1090
0004012024,"ייעוץ, פרוייקטים",2011,383,0,2148
0004012025,פעולות הכנה לגיור,2011,1538,0,5412
0004012101,פעילות הועדה הבינמשרדית להערכות לרעידות אדמה,2011,918,,14194
0004012102,שיא כוח אדם,2011,,,75
0004012103,עבודה בלתי צמיתה,2011,388,,388
0004012104,החזר הוצאות רכב,2011,27,,27
0004012105,שעות נוספות,2011,2,,25
0004012210,הוצאות ופעילות המטה,2011,,,1200
0004013101,שיא כח אדם,2011,-1,0,-1
0004013102,שעות נוספות,2011,-1,0,-1
0004013105,פעולות ארכיון המדינה,2011,83,0,1368
0004013106,הכנסות מגורמי חוץ,2011,-1,0,-1
0004013110,פעולות גניזה,2011,-1,0,-1
0004013112,ייעוץ לשכר עידוד,2011,12,0,38
0004013113,עבודה בלתי צמיתה,2011,-1,0,-1
0004013114,פרוייקטים,2011,865,0,2464
0004013115,שכר עידוד,2011,-1,0,-1
0004013117,השתתפות במשרד האוצר -,2011,-1,0,-1
0004013120,ייעוץ סטאטורי - העברת,2011,-1,0,-1
0004013121,פרוייקט העברת גנזך,2011,1994,0,5089
0004013203,הפקת חוברות,2011,-1,0,-1
0004013901,שיא כוח אדם,2011,3957,5351,4010
0004013902,עבודה בלתי צמיתה,2011,2939,1041,2967
0004013903,שעות נוספות,2011,352,305,348
0004013904,שכר עידוד,2011,768,531,781
0004013911,רכב ממשלתי,2011,-1,0,-1
0004013912,דלק לרכב ממשלתי,2011,-1,0,-1
0004013914,פעולות ארכיות המדינה,2011,762,1968,2649
0004013915,הכנסות מגורמי חוץ,2011,0,0,-1240
0004013918,"נסיעות לחו""ל",2011,25,23,35
0004013921,העסקת סטודנטים,2011,154,145,151
0004013932,אחזקה ותפעול,2011,488,505,799
0004013933,תפעול,2011,-1,0,-1
0004013936,שירותי מחשוב,2011,3060,2899,6336
0004013943,הכנסות מגורמי חוץ,2011,-45,0,-109
0004013945,אחזקת מחסנים,2011,2536,2620,3061
0004013946,רזרבה לשכר דירה,2011,-1,0,-1
0004013947,שכר דירה,2011,7269,6460,7308
0004013949,השתתפות משרד החוץ,2011,-180,-300,-300
0004013950,מיסי ארנונה,2011,1891,1865,1892
0004013953,בית העצמאות,2011,200,,2000
0004016104,הוצאות מנהליות,2011,0,2402,2449
0004016108,השתתפות משרדי הממשלה,2011,,-2402,-2402
0004016276,סמינר בנות חיל,2011,-1,0,-1
0004016279,עזבונות - תאום ובקרה,2011,-1,0,-1
0004016291,קדמת - חינוך יהודי,2011,-1,0,-1
0004016296,כנס רב עדתי למטרות,2011,-1,0,-1
0004016297,השתתפות בפרויקטים,2011,-1,0,-1
0004016435,בית הספר התיכון שליד,2011,-1,0,-1
0004016442,"משרד רוה""מ - קו פתוח",2011,-1,0,-1
0004017101,מרכז בגין,2011,6841,5170,8491
0004017201,מרכז רבין,2011,7604,4691,8143
0004017301,שיא כח אדם,2011,1562,1097,1567
0004017302,שעות נוספות,2011,201,93,199
0004017303,כוננויות,2011,22,17,22
0004017304,החזר הוצאות רכב,2011,305,277,315
0004017305,שכר עידוד,2011,148,154,155
0004017306,תפעול,2011,607,831,1073
0004017308,אחזקה,2011,-1,0,-1
0004017309,שכר- דירה וארנונה,2011,736,715,736
0004017310,אחזקת רכב ממשלתי,2011,89,72,130
0004017311,דלק לרכב ממשלתי,2011,33,40,49
0004017312,טקסים ואירועים,2011,-1,0,-1
0004017313,מטח יום העצמאות,2011,4882,3504,5087
0004017315,פעולות מרכז ההסברה,2011,5137,6278,7647
0004017316,הכנסות מגורמי חוץ,2011,-146,0,-250
0004017319,הכנסות מגורמי חוץ,2011,-260,0,-300
0004017320,השתתפות משרד הקליטה,2011,-1,0,-1
0004017321,השתתפות משרד החינוך,2011,-858,-900,-900
0004017322,השתתפות משרד הביטחון,2011,-30,-230,-230
0004017323,השתתפות במשרד החינוך,2011,,250,0
0004017324,השתתפות בלשכת הפירסום,2011,137,350,453
0004017325,השתתפות בלשכת הפרסום,2011,-1,0,-1
0004017326,השתתפות משרד התיירות,2011,,-88,-88
0004017327,השתתפות משרד המשפטים,2011,-114,-50,-50
0004017501,היכל הגבורה ים-עכו,2011,-1,0,-1
0004017601,חלקת גדולי האומה,2011,57,0,3057
0004017602,אחזקת הר הרצל,2011,-1,0,-1
0004017802,הרשות למלחמה בסמים,2011,-1,0,-1
0004019006,תשלום עבור שהיית תושבי,2011,-1,0,-1
0004019801,סיוע נפגעות תקיפה מינית,2011,-1,0,-1
0004019802,השתת' אפוטרופוס,2011,-1,0,-1
0004019803,מכון הנגב,2011,,0,38
0004019804,קול האשה,2011,50,0,50
0004019805,החצר הנשית יפו,2011,,0,38
0004019806,המלחמה באלימות נגד,2011,-1,0,-1
0004019807,עירית מעלות - תרשיחא,2011,-1,0,-1
0004021111,תגמול למסייעים בעליה,2011,,0,775
0004021201,שיא כח אדם,2011,3974,3410,4010
0004021202,שעות נוספות,2011,113,156,106
0004021204,ועדות ממשלתיות,2011,127,269,135
0004021205,שרותי מזכירות לשרים,2011,194,203,303
0004021206,כוננויות,2011,143,157,141
0004021209,עבודה בלתי צמיתה,2011,211,152,242
0004021211,קלידת חומר היסטורי,2011,10,185,324
0004021212,השתתפות משרדים בקלידה,2011,-111,-191,-191
0004021213,עלויות פרישה,2011,492,105,493
0004021214,פרויקט מיכון,2011,,0,4
0004021405,"תכנון, פתוח מחקרים,",2011,1016,3000,10484
0004021410,עבודה בלתי צמיתה,2011,9126,4207,9207
0004021511,עוזר פרלמנטרי,2011,-1,0,-1
0004021601,"שיא כ""א",2011,220,225,225
0004021602,שעות נוספות,2011,-1,0,-1
0004021603,פעולות והוצאות ארגוניות,2011,-1,0,-1
0004021604,החזר הוצאות רכב,2011,29,68,29
0004021605,השתתפות בשכירת דיור,2011,-1,0,-1
0004021606,אחזקת רכב ממשלתי,2011,,63,0
0004021607,דלק לרכב ממשלתי,2011,,23,0
0004021608,אבטחה,2011,-1,0,-1
0004021701,עבודה בלתי צמיתה,2011,655,311,670
0004021702,שעות נוספות,2011,,32,0
0004021703,החזר הוצאות רכב,2011,89,117,90
0004021704,החזר הוצאות,2011,556,563,797
0004021705,אחזקת רכב ממשלתי ודלק,2011,607,510,631
0004021706,הוצאות אבטחה בארץ,2011,1966,1955,3147
0004021801,"שיא כ""א",2011,225,156,226
0004021802,שעות נוספות,2011,-1,0,-1
0004021803,החזר הוצאות רכב,2011,27,47,29
0004021804,אחזקת רכב ממשלתי,2011,-1,0,-1
0004021805,דלק לרכב ממשלתי,2011,-1,0,-1
0004021806,הוצאות ארגוניות,2011,41,236,274
0004021807,אבטחה,2011,579,535,1042
0004021903,השתתפות במשטרה,2011,236,188,419
